Pixel,Wavelength(nm),Intensity(Counts)
483,248.3,1659
484,248.5,1632
485,248.8,1710
486,249,1755
487,249.2,1637
488,249.4,1551
489,249.6,1540
490,249.8,1587
491,250.1,1621
492,250.3,1569
493,250.5,1541
494,250.7,1489
495,250.9,1537
496,251.2,1608
497,251.4,1628
498,251.6,1668
499,251.8,1613
500,252,1611
501,252.2,1643
502,252.5,1669
503,252.7,1683
504,252.9,1601
505,253.1,1638
506,253.3,1652
507,253.5,1635
508,253.8,1566
509,254,1586
510,254.2,1645
511,254.4,1689
512,254.6,1681
513,254.8,1685
514,255.1,1637
515,255.3,1550
516,255.5,1643
517,255.7,1656
518,255.9,1635
519,256.1,1676
520,256.4,1680
521,256.6,1597
522,256.8,1631
523,257,1637
524,257.2,1637
525,257.5,1627
526,257.7,1656
527,257.9,1607
528,258.1,1554
529,258.3,1541
530,258.5,1560
531,258.8,1568
532,259,1597
533,259.2,1584
534,259.4,1623
535,259.6,1668
536,259.8,1605
537,260.1,1652
538,260.3,1652
539,260.5,1574
540,260.7,1592
541,260.9,1540
542,261.2,1521
543,261.4,1551
544,261.6,1572
545,261.8,1545
546,262,1580
547,262.2,1616
548,262.5,1613
549,262.7,1593
550,262.9,1626
551,263.1,1598
552,263.3,1704
553,263.5,1675
554,263.8,1650
555,264,1595
556,264.2,1569
557,264.4,1601
558,264.6,1543
559,264.9,1546
560,265.1,1483
561,265.3,1500
562,265.5,1545
563,265.7,1579
564,265.9,1627
565,266.2,1639
566,266.4,1630
567,266.6,1593
568,266.8,1561
569,267,1601
570,267.3,1564
571,267.5,1544
572,267.7,1564
573,267.9,1553
574,268.1,1541
575,268.3,1544
576,268.6,1561
577,268.8,1562
578,269,1553
579,269.2,1573
580,269.4,1630
581,269.7,1559
582,269.9,1579
583,270.1,1536
584,270.3,1561
585,270.5,1620
586,270.7,1583
587,271,1604
588,271.2,1607
589,271.4,1524
590,271.6,1629
591,271.8,1615
592,272.1,1613
593,272.3,1573
594,272.5,1551
595,272.7,1559
596,272.9,1631
597,273.1,1646
598,273.4,1661
599,273.6,1657
600,273.8,1584
601,274,1536
602,274.2,1572
603,274.5,1540
604,274.7,1581
605,274.9,1592
606,275.1,1599
607,275.3,1623
608,275.5,1638
609,275.8,1597
610,276,1633
611,276.2,1652
612,276.4,1675
613,276.6,1661
614,276.9,1671
615,277.1,1673
616,277.3,1680
617,277.5,1663
618,277.7,1697
619,278,1629
620,278.2,1663
621,278.4,1704
622,278.6,1748
623,278.8,1665
624,279,1708
625,279.3,1618
626,279.5,1600
627,279.7,1545
628,279.9,1545
629,280.1,1634
630,280.4,1641
631,280.6,1578
632,280.8,1641
633,281,1626
634,281.2,1639
635,281.5,1676
636,281.7,1641
637,281.9,1603
638,282.1,1660
639,282.3,1637
640,282.6,1607
641,282.8,1533
642,283,1560
643,283.2,1591
644,283.4,1609
645,283.6,1646
646,283.9,1630
647,284.1,1595
648,284.3,1637
649,284.5,1627
650,284.7,1607
651,285,1611
652,285.2,1644
653,285.4,1633
654,285.6,1619
655,285.8,1613
656,286.1,1597
657,286.3,1559
658,286.5,1579
659,286.7,1609
660,286.9,1642
661,287.2,1682
662,287.4,1597
663,287.6,1551
664,287.8,1570
665,288,1597
666,288.3,1602
667,288.5,1624
668,288.7,1601
669,288.9,1587
670,289.1,1577
671,289.4,1646
672,289.6,1718
673,289.8,1708
674,290,1674
675,290.2,1613
676,290.4,1636
677,290.7,1653
678,290.9,1686
679,291.1,1697
680,291.3,1674
681,291.5,1661
682,291.8,1671
683,292,1646
684,292.2,1623
685,292.4,1606
686,292.6,1565
687,292.9,1545
688,293.1,1548
689,293.3,1567
690,293.5,1528
691,293.7,1567
692,294,1603
693,294.2,1609
694,294.4,1613
695,294.6,1580
696,294.8,1537
697,295.1,1559
698,295.3,1568
699,295.5,1516
700,295.7,1553
701,295.9,1561
702,296.2,1554
703,296.4,1597
704,296.6,1607
705,296.8,1573
706,297,1616
707,297.3,1573
708,297.5,1610
709,297.7,1655
710,297.9,1672
711,298.1,1589
712,298.4,1484
713,298.6,1517
714,298.8,1619
715,299,1653
716,299.2,1571
717,299.5,1537
718,299.7,1545
719,299.9,1536
720,300.1,1591
721,300.3,1597
722,300.6,1565
723,300.8,1571
724,301,1605
725,301.2,1640
726,301.4,1673
727,301.7,1656
728,301.9,1678
729,302.1,1641
730,302.3,1581
731,302.5,1595
732,302.8,1629
733,303,1588
734,303.2,1521
735,303.4,1542
736,303.6,1517
737,303.9,1581
738,304.1,1570
739,304.3,1549
740,304.5,1601
741,304.8,1613
742,305,1606
743,305.2,1629
744,305.4,1637
745,305.6,1737
746,305.9,1705
747,306.1,1653
748,306.3,1673
749,306.5,1601
750,306.7,1613
751,307,1652
752,307.2,1646
753,307.4,1680
754,307.6,1651
755,307.8,1671
756,308.1,1633
757,308.3,1651
758,308.5,1673
759,308.7,1653
760,308.9,1697
761,309.2,1657
762,309.4,1617
763,309.6,1603
764,309.8,1637
765,310,1660
766,310.3,1613
767,310.5,1601
768,310.7,1596
769,310.9,1636
770,311.2,1632
771,311.4,1703
772,311.6,1720
773,311.8,1717
774,312,1681
775,312.3,1665
776,312.5,1640
777,312.7,1632
778,312.9,1621
779,313.1,1614
780,313.4,1655
781,313.6,1634
782,313.8,1645
783,314,1588
784,314.2,1685
785,314.5,1613
786,314.7,1571
787,314.9,1614
788,315.1,1655
789,315.4,1696
790,315.6,1612
791,315.8,1531
792,316,1571
793,316.2,1612
794,316.5,1675
795,316.7,1674
796,316.9,1647
797,317.1,1644
798,317.3,1703
799,317.6,1668
800,317.8,1674
801,318,1575
802,318.2,1567
803,318.4,1595
804,318.7,1555
805,318.9,1593
806,319.1,1696
807,319.3,1616
808,319.6,1618
809,319.8,1593
810,320,1601
811,320.2,1575
812,320.4,1563
813,320.7,1621
814,320.9,1640
815,321.1,1609
816,321.3,1529
817,321.5,1549
818,321.8,1572
819,322,1579
820,322.2,1569
821,322.4,1581
822,322.7,1639
823,322.9,1635
824,323.1,1646
825,323.3,1632
826,323.5,1597
827,323.8,1625
828,324,1616
829,324.2,1595
830,324.4,1631
831,324.7,1633
832,324.9,1590
833,325.1,1555
834,325.3,1609
835,325.5,1647
836,325.8,1627
837,326,1651
838,326.2,1629
839,326.4,1603
840,326.6,1579
841,326.9,1561
842,327.1,1630
843,327.3,1605
844,327.5,1568
845,327.8,1569
846,328,1643
847,328.2,1653
848,328.4,1729
849,328.6,1660
850,328.9,1632
851,329.1,1645
852,329.3,1627
853,329.5,1664
854,329.8,1628
855,330,1575
856,330.2,1557
857,330.4,1599
858,330.6,1567
859,330.9,1601
860,331.1,1649
861,331.3,1625
862,331.5,1592
863,331.8,1607
864,332,1585
865,332.2,1629
866,332.4,1675
867,332.6,1681
868,332.9,1653
869,333.1,1651
870,333.3,1645
871,333.5,1635
872,333.8,1629
873,334,1647
874,334.2,1584
875,334.4,1552
876,334.6,1559
877,334.9,1562
878,335.1,1559
879,335.3,1562
880,335.5,1568
881,335.8,1581
882,336,1637
883,336.2,1667
884,336.4,1627
885,336.6,1651
886,336.9,1670
887,337.1,1637
888,337.3,1649
889,337.5,1609
890,337.8,1700
891,338,1721
892,338.2,1728
893,338.4,1691
894,338.6,1620
895,338.9,1647
896,339.1,1689
897,339.3,1649
898,339.5,1670
899,339.8,1581
900,340,1629
901,340.2,1671
902,340.4,1693
903,340.6,1628
904,340.9,1632
905,341.1,1602
906,341.3,1633
907,341.5,1629
908,341.8,1629
909,342,1639
910,342.2,1633
911,342.4,1613
912,342.7,1570
913,342.9,1571
914,343.1,1563
915,343.3,1570
916,343.5,1585
917,343.8,1532
918,344,1565
919,344.2,1618
920,344.4,1612
921,344.7,1613
922,344.9,1629
923,345.1,1612
924,345.3,1563
925,345.6,1573
926,345.8,1603
927,346,1603
928,346.2,1619
929,346.4,1595
930,346.7,1596
931,346.9,1598
932,347.1,1627
933,347.3,1664
934,347.6,1663
935,347.8,1627
936,348,1601
937,348.2,1536
938,348.5,1612
939,348.7,1609
940,348.9,1617
941,349.1,1667
942,349.3,1691
943,349.6,1645
944,349.8,1665
945,350,1624
946,350.2,1625
947,350.5,1601
948,350.7,1591
949,350.9,1597
950,351.1,1648
951,351.4,1675
952,351.6,1591
953,351.8,1588
954,352,1606
955,352.2,1569
956,352.5,1612
957,352.7,1600
958,352.9,1652
959,353.1,1679
960,353.4,1604
961,353.6,1614
962,353.8,1527
963,354,1551
964,354.3,1627
965,354.5,1599
966,354.7,1659
967,354.9,1659
968,355.2,1579
969,355.4,1539
970,355.6,1507
971,355.8,1544
972,356,1591
973,356.3,1579
974,356.5,1642
975,356.7,1592
976,356.9,1666
977,357.2,1629
978,357.4,1637
979,357.6,1629
980,357.8,1621
981,358.1,1605
982,358.3,1570
983,358.5,1635
984,358.7,1628
985,359,1617
986,359.2,1627
987,359.4,1621
988,359.6,1596
989,359.8,1611
990,360.1,1606
991,360.3,1557
992,360.5,1536
993,360.7,1560
994,361,1580
995,361.2,1621
996,361.4,1648
997,361.6,1645
998,361.9,1629
999,362.1,1568
1000,362.3,1591
1001,362.5,1613
1002,362.8,1671
1003,363,1645
1004,363.2,1583
1005,363.4,1665
1006,363.7,1675
1007,363.9,1681
1008,364.1,1669
1009,364.3,1631
1010,364.6,1622
1011,364.8,1607
1012,365,1561
1013,365.2,1614
1014,365.4,1608
1015,365.7,1555
1016,365.9,1562
1017,366.1,1552
1018,366.3,1613
1019,366.6,1631
1020,366.8,1686
1021,367,1594
1022,367.2,1591
1023,367.5,1664
1024,367.7,1614
1025,367.9,1648
1026,368.1,1661
1027,368.4,1649
1028,368.6,1707
1029,368.8,1679
1030,369,1627
1031,369.3,1589
1032,369.5,1629
1033,369.7,1649
1034,369.9,1623
1035,370.2,1579
1036,370.4,1583
1037,370.6,1571
1038,370.8,1659
1039,371.1,1689
1040,371.3,1686
1041,371.5,1631
1042,371.7,1696
1043,372,1669
1044,372.2,1652
1045,372.4,1643
1046,372.6,1588
1047,372.9,1593
1048,373.1,1621
1049,373.3,1572
1050,373.5,1527
1051,373.8,1532
1052,374,1569
1053,374.2,1573
1054,374.4,1540
1055,374.6,1616
1056,374.9,1669
1057,375.1,1652
1058,375.3,1645
1059,375.5,1693
1060,375.8,1685
1061,376,1681
1062,376.2,1635
1063,376.4,1600
1064,376.7,1607
1065,376.9,1597
1066,377.1,1658
1067,377.3,1672
1068,377.6,1660
1069,377.8,1658
1070,378,1664
1071,378.2,1739
1072,378.5,1706
1073,378.7,1633
1074,378.9,1681
1075,379.1,1704
1076,379.4,1663
1077,379.6,1644
1078,379.8,1605
1079,380,1618
1080,380.3,1620
1081,380.5,1620
1082,380.7,1663
1083,380.9,1685
1084,381.2,1685
1085,381.4,1596
1086,381.6,1625
1087,381.8,1615
1088,382.1,1561
1089,382.3,1579
1090,382.5,1523
1091,382.7,1537
1092,383,1570
